StudentID,Name,Gender,Age,Class,Maths,Science,English,Attendance,City
1001,Student_1,M,17,12,38,70,66,77,Gurugram
1002,Student_2,M,17,12,46,89,39,70,Noida
1003,Student_3,M,15,10,99,38,60,92,Agra
1004,Student_4,F,15,10,70,35,55,92,Agra
1005,Student_5,F,16,11,54,62,78,73,Noida
1006,Student_6,M,16,11,80,79,68,95,Delhi
1007,Student_7,F,17,12,50,83,45,87,Jaipur
1008,Student_8,F,17,12,59,43,40,91,Lucknow
1009,Student_9,M,16,11,64,47,83,78,Ghaziabad
1010,Student_10,F,17,12,55,82,80,76,Jaipur
1011,Student_11,M,17,12,56,66,55,84,Agra
1012,Student_12,M,16,11,76,42,64,96,Delhi
1013,Student_13,F,16,11,69,43,62,99,Kanpur
1014,Student_14,F,15,10,85,93,53,78,Gurugram
1015,Student_15,F,15,10,89,86,81,77,Gurugram
1016,Student_16,F,17,12,46,41,49,74,Gurugram
1017,Student_17,F,17,12,43,84,83,89,Ghaziabad
1018,Student_18,F,17,12,36,49,69,94,Kanpur
1019,Student_19,F,15,10,90,55,93,70,Jaipur
1020,Student_20,M,17,12,99,48,73,96,Lucknow
1021,Student_21,F,15,10,55,35,76,85,Delhi
1022,Student_22,F,15,10,74,65,42,77,Noida
1023,Student_23,F,15,10,43,51,51,91,Ghaziabad
1024,Student_24,M,17,12,68,89,62,99,Lucknow
1025,Student_25,F,17,12,86,82,91,98,Ghaziabad
1026,Student_26,M,15,10,63,43,78,70,Lucknow
1027,Student_27,M,17,12,35,44,42,77,Noida
1028,Student_28,F,15,10,44,100,65,78,Ghaziabad
1029,Student_29,M,15,10,95,66,95,95,Agra
1030,Student_30,M,15,10,47,90,80,83,Agra
1031,Student_31,M,16,11,47,42,86,93,Kanpur
1032,Student_32,M,15,10,59,59,92,74,Agra
1033,Student_33,F,15,10,94,66,44,84,Noida
1034,Student_34,M,15,10,46,65,56,83,Ghaziabad
1035,Student_35,M,16,11,86,42,56,82,Delhi
1036,Student_36,F,16,11,93,71,89,92,Ghaziabad
1037,Student_37,M,15,10,72,62,42,88,Delhi
1038,Student_38,F,17,12,42,41,96,86,Gurugram
1039,Student_39,M,15,10,58,43,43,91,Lucknow
1040,Student_40,M,16,11,66,40,45,83,Kanpur
1041,Student_41,M,16,11,75,65,68,82,Gurugram
1042,Student_42,F,17,12,93,75,44,70,Ghaziabad
1043,Student_43,M,17,12,44,62,99,78,Gurugram
1044,Student_44,M,16,11,66,82,71,75,Ghaziabad
1045,Student_45,F,17,12,36,73,48,100,Gurugram
1046,Student_46,M,16,11,48,54,69,79,Lucknow
1047,Student_47,F,17,12,61,68,99,85,Jaipur
1048,Student_48,M,15,10,89,70,40,70,Kanpur
1049,Student_49,F,15,10,55,91,89,87,Delhi
1050,Student_50,M,15,10,54,39,82,88,Gurugram
1051,Student_51,M,16,11,40,74,81,98,Delhi
1052,Student_52,M,16,11,66,48,80,94,Agra
1053,Student_53,M,17,12,65,55,57,98,Agra
1054,Student_54,M,15,10,77,87,66,78,Gurugram
1055,Student_55,M,17,12,83,39,95,77,Lucknow
1056,Student_56,F,16,11,74,64,63,70,Lucknow
1057,Student_57,F,16,11,70,43,70,81,Agra
1058,Student_58,F,17,12,38,49,68,75,Jaipur
1059,Student_59,M,15,10,90,79,75,83,Noida
1060,Student_60,M,16,11,67,40,90,70,Lucknow
1061,Student_61,F,16,11,43,77,75,91,Noida
1062,Student_62,F,17,12,99,74,87,80,Agra
1063,Student_63,F,17,12,51,59,88,91,Agra
1064,Student_64,M,17,12,73,86,35,79,Jaipur
1065,Student_65,F,15,10,76,94,91,84,Lucknow
1066,Student_66,F,17,12,56,45,71,86,Kanpur
1067,Student_67,M,15,10,74,63,60,74,Delhi
1068,Student_68,M,15,10,95,44,93,83,Lucknow
1069,Student_69,F,17,12,98,86,66,74,Delhi
1070,Student_70,F,15,10,63,57,94,71,Lucknow
1071,Student_71,F,15,10,52,94,75,100,Ghaziabad
1072,Student_72,F,17,12,92,55,95,84,Jaipur
1073,Student_73,F,15,10,97,65,70,84,Noida
1074,Student_74,F,17,12,65,69,77,80,Noida
1075,Student_75,M,15,10,64,84,54,92,Lucknow
1076,Student_76,F,15,10,87,77,94,83,Delhi
1077,Student_77,F,15,10,84,37,83,85,Delhi
1078,Student_78,F,16,11,84,88,63,85,Lucknow
1079,Student_79,F,16,11,97,38,84,80,Agra
1080,Student_80,M,17,12,94,51,38,99,Agra
1081,Student_81,M,17,12,45,89,52,97,Ghaziabad
1082,Student_82,M,15,10,68,83,76,76,Ghaziabad
1083,Student_83,F,16,11,83,70,88,78,Noida
1084,Student_84,M,16,11,41,79,63,90,Noida
1085,Student_85,M,17,12,38,66,60,96,Delhi
1086,Student_86,M,17,12,65,51,95,91,Noida
1087,Student_87,M,17,12,94,67,82,75,Noida
